,ADYEY,AFRM,ALKT,AVLR,BILL,BTRS,BL,BHG,CLOV,COIN,COMP,DLO,DOMA,DCT,ENV,EVER,FLT,FLYW,FCH.L,GDOT,HIPO,INTA,KPLT,LMND,LSPD,LDI,LU,MQ,MELI,MILE,ML,NCNO,OLO,OPEN,OSCR,PAGS,PAY,PAYO,PYPL,QTWO,RDFN,ROOT,SEZNL,SHOP,SOFI,SQ,STNE,UPST,VIRT,XROLF,HOOD,BLND,WPLCF,TOST,RELY,BKKT,NRDS,NU,AVDX,DAVE,EXFY
2016-05-20,,,,,,,,,,,,,,,1822956177.2248583,,10896079656.421322,,,1289227702.3370516,,,,,,,,,6855049945.26699,,,,,,,,,,44566825421.16651,1320875905.1833272,,,,33784389608.016796,,5725017941.385655,,,2234237764.795025,1702225531.3238566,,,,,,,,,,,
2016-05-23,,,,,,,,,,,,,,,1813962260.8680832,,10872335528.737268,,,1233747501.547258,,,,,,,,,6759307389.916806,,,,,,,,,,45208075815.84686,1367842926.4969778,,,,34716373152.72435,,5767696268.76667,,,2222681101.9685893,1674720943.7409706,,,,,,,,,,,
2016-05-24,,,,,,,,,,,,,,,1871298558.0544794,,11046702928.347267,,,1166182545.0024714,,,,,,,,,6891401644.549198,,,,,,,,,,46217447913.80999,1445541515.6604517,,,,35027036391.72048,,6182287728.291738,,,2274042947.5127664,1674720943.7409706,,,,,,,,,,,
2016-05-25,,,,,,,,,,,,,,,1862304641.6977043,,11144644624.588175,,,1205183523.8743348,,,,,,,,,6861705823.838008,,,,,,,,,,46027448300.19523,1439163238.6021016,,,,36502674432.39042,,6096930492.081105,,,2241941611.407413,1694585351.9147995,,,,,,,,,,,
2016-05-26,,,,,,,,,,,,,,,1844878834.942505,,11078607826.2176,,,1210676632.771091,,,,,,,,,6912393382.404625,,,,,,,,,,45208075815.84686,1444381808.814255,,,,35933130304.46488,,5944507229.7790785,,,2253498274.2338486,1694585351.9147995,,,,,,,,,,,
2016-05-27,,,,,,,,,,,,,,,1887600098.4610963,,11142418754.140585,,,1219465565.0969656,,,,,,,,,6915976169.194122,,,,,,,,,,45231826333.79221,1447280965.334015,,,,36981612563.795975,,5871344133.647937,,,2284742418.799923,1745010332.000556,,,,,,,,,,,
2016-05-30,,,,,,,,,,,,,,,1887600098.4610963,,11142418754.140585,,,1219465565.0969656,,,,,,,,,6915976169.194122,,,,,,,,,,45231826333.79221,1447280965.334015,,,,36981612563.795975,,5871344133.647937,,,2284742418.799923,1745010332.000556,,,,,,,,,,,
2016-05-31,,,,,,,,,,,,,,,1899404573.4733863,,11047444507.769024,,,1211775170.7325718,,,,,,,,,6988680353.11294,,,,,,,,,,44875577624.50806,1448440672.1802118,,,,37913593022.36311,,5810374596.147685,,,2318590445.0134397,1745010332.000556,,,,,,,,,,,
2016-06-01,,,,,,,,,,,,,,,1908960515.7885122,,11131289401.902637,,,1226606533.3221116,,,,,,,,,6980487535.97396,,,,,,,,,,45493077501.24306,1491348830.1279056,,,,40217665338.30925,,5853053504.977303,,,2342024243.4122458,1910037566.0492687,,,,,,,,,,,
2016-06-02,,,,,,,,,,,,,,,2018574018.8086252,,11313817571.698915,,,1238142072.482533,,,,,,,,,7014278979.900237,,,,,,,,,,45789952180.63786,1566728116.1947181,,,,38625525496.87534,,5883537692.278826,,,2361551488.7789173,1910037566.0492687,,,,,,,,,,,
2016-06-03,,,,,,,,,,,,,,,2019136044.766976,,11162452720.351215,,,1219465565.0969656,,,,,,,,,6950280449.545987,,,,,,,,,,45516828019.188416,1605577410.7764552,,,,38288975712.05649,,5767696268.76667,,,2362853673.122962,1910037566.0492687,,,,,,,,,,,
2016-06-06,,,,,,,,,,,,,,,2097270947.754317,,11412501979.543903,,,1238142072.482533,,,,,,,,,7079301612.396858,,,,,,,,,,45243699327.79084,1624132277.932676,,,,38832633294.159294,,5798181037.516796,,,2364155208.0794773,1929901974.223097,,,,,,,,,,,
2016-06-07,,,,,,,,,,,,,,,2061295067.8953366,,11341271860.856394,,,1232648963.585777,,,,,,,,,7097733094.896353,,,,,,,,,,44614326457.05723,1616594294.028129,,,,38651415128.83849,,5834762294.858067,,,2368060462.3365526,1929901974.223097,,,,,,,,,,,
2016-06-08,,,,,,,,,,,,,,,2073099757.3395069,,11307139960.356148,,,1243635076.606951,,,,,,,,,7014278979.900237,,,,,,,,,,44590575939.11187,1643266998.5119956,,,,38949132008.78284,,5822568736.227178,,,2331609041.5162406,2108681502.0632524,,,,,,,,,,,
2016-06-09,,,,,,,,,,,,,,,2091087590.0530567,,11129805110.876804,,,1241987217.2785609,,,,,,,,,7037830187.757191,,,,,,,,,,44091828652.10367,1615434697.777664,,,,38068924641.861176,,5694533172.635529,,,2299063037.2998857,2122433795.8546958,,,,,,,,,,,
2016-06-10,,,,,,,,,,,,,,,2047804300.5761142,,10932436295.18683,,,1223860031.2599025,,,,,,,,,6875528846.696827,,,,,,,,,,43664328388.98343,1573106282.6573365,,,,36606229874.1026,,5572594679.083628,,,2312081796.1495695,2122433795.8546958,,,,,,,,,,,
2016-06-13,,,,,,,,,,,,,,,2016325486.1114614,,10827815855.420832,,,1205183523.8743348,,,,,,,,,6828425645.628515,,,,,,,,,,43391204227.53398,1565568409.3485212,,,,36230847184.409225,,5438462045.452235,,,2279535304.8925676,2122433795.8546958,,,,,,,,,,,
2016-06-14,,,,,,,,,,,,,,,1997775627.439561,,10683871327.019978,,,1193647984.7139137,,,,,,,,,6883208827.410217,,,,,,,,,,44127452164.04765,1567887823.0409148,,,,37602932869.5074,,5420171416.7816,,,2308175730.158082,2122433795.8546958,,,,,,,,,,,
2016-06-15,,,,,,,,,,,,,,,2052863391.9287927,,10733584320.653347,,,1194746627.4477324,,,,,,,,,6849928649.200724,,,,,,,,,,43747452936.81813,1584703129.9278407,,,,37098108192.27911,,5523819281.662867,,,2315987050.406645,1978798889.282182,,,,,,,,,,,
2016-06-16,,,,,,,,,,,,,,,1983160379.3398762,,10688323067.915155,,,1201887595.6728787,,,,,,,,,6935943019.552772,,,,,,,,,,43901829038.48891,1576005549.7728288,,,,36722725502.58573,,5517722211.623121,,,2322495861.617398,2122433795.8546958,,,,,,,,,,,
2016-06-17,,,,,,,,,,,,,,,2010142128.410201,,10710582904.573376,,,1202986238.4066975,,,,,,,,,6847882800.979189,,,,,,,,,,43901829038.48891,1587602286.4476008,,,,37460547609.06112,,5511625141.583376,,,2267818243.3462815,2122433795.8546958,,,,,,,,,,,
2016-06-20,,,,,,,,,,,,,,,2016887726.5016925,,10765489218.52368,,,1216718958.2624185,,,,,,,,,6916488220.265307,,,,,,,,,,43771203454.76349,1615434697.777664,,,,38534916414.21495,,5609175936.424897,,,2282138212.4587154,2122433795.8546958,,,,,,,,,,,
2016-06-21,,,,,,,,,,,,,,,1966296812.9749076,,10838204760.419346,,,1209028668.6703627,,,,,,,,,6954376858.1154785,,,,,,,,,,42939953446.46838,1640947584.8196018,,,,38664358401.74986,,5700630242.675275,,,2309477589.8083615,1989495198.744583,,,,,,,,,,,
2016-06-22,,,,,,,,,,,,,,,1948871006.2197084,,10697226549.705515,,,1210676632.771091,,,,,,,,,6987143414.544979,,,,,,,,,,42749953832.85362,1636308868.0305467,,,,38586692592.000824,,5353104809.241602,,,2304270313.554124,2001719427.509354,,,,,,,,,,,
2016-06-23,,,,,,,,,,,,,,,2023071084.2029529,,10862689335.342833,,,1230451678.1181395,,,,,,,,,7119748934.894151,,,,,,,,,,43533702805.25802,1662401719.0913146,,,,40385937144.57826,,5566497609.043881,,,2300364572.2564015,2001719427.509354,,,,,,,,,,,
2016-06-24,,,,,,,,,,,,,,,1928072614.8506439,,10498374575.172031,,,1176070120.0621645,,,,,,,,,6759819440.987994,,,,,,,,,,41657457187.055786,1586442690.197136,,,,37628822501.47055,,5347008320.650459,,,2308175730.158082,1908509501.0225968,,,,,,,,,,,
2016-06-27,,,,,,,,,,,,,,,1790915336.8018546,,9992338892.683317,,,1161238757.472625,,,,,,,,,6496144160.826003,,,,,,,,,,40612457047.20056,1515702120.9193788,,,,35156478379.25539,,5255554014.400081,,,2253498274.2338486,1911565631.0759401,,,,,,,,,,,
2016-06-28,,,,,,,,,,,,,,,1811713728.1709194,,10330684786.9048,,,1190901482.6517045,,,,,,,,,6800627241.156568,,,,,,,,,,41847456800.67055,1540055411.7108517,,,,36942779658.921455,,5426267905.372744,,,2286044116.1033206,1896285272.2578256,,,,,,,,,,,
2016-06-29,,,,,,,,,,,,,,,1861180375.349122,,10620060399.09699,,,1229902356.75123,,,,,,,,,7123051350.161541,,,,,,,,,,42476829671.40417,1592241003.2366557,,,,39246848888.72718,,5670145473.925149,,,2331609041.5162406,1896285272.2578256,,,,,,,,,,,
2016-06-30,,,,,,,,,,,,,,,1872422824.4030612,,10620060399.09699,,,1262860905.3594282,,,,,,,,,7210703969.7996235,,,,,,,,,,43355576185.641884,1624712131.3557744,,,,39816393016.652725,,5517722211.623121,,,2343325778.368761,2033808064.447954,,,,,,,,,,,
2016-07-01,,,,,,,,,,,,,,,1928072614.8506439,,10591864530.51776,,,1278790910.682787,,,,,,,,,7166620456.413384,,,,,,,,,,43165576572.02712,1617174147.4512272,,,,39907002099.313126,,5651854845.254515,,,2314684866.0625997,2033808064.447954,,,,,,,,,,,
2016-07-04,,,,,,,,,,,,,,,1928072614.8506439,,10591864530.51776,,,1278790910.682787,,,,,,,,,7166620456.413384,,,,,,,,,,43165576572.02712,1617174147.4512272,,,,39907002099.313126,,5651854845.254515,,,2314684866.0625997,2033808064.447954,,,,,,,,,,,
2016-07-05,,,,,,,,,,,,,,,1894345482.1207075,,10351460332.537182,,,1274396444.5198495,,,,,,,,,7167134863.547781,,,,,,,,,,42892452410.57766,1586442690.197136,,,,39622231578.42056,,5450655604.083123,,,2335514620.467081,1978798889.282182,,,,,,,,,,,
2016-07-06,,,,,,,,,,,,,,,1901090865.7803187,,10358880655.48403,,,1283185376.8457239,,,,,,,,,7159956724.29833,,,,,,,,,,42666829285.01892,1576585403.1959271,,,,39674007756.20644,,5487237442.872994,,,2299063037.2998857,1978798889.282182,,,,,,,,,,,
2016-07-07,,,,,,,,,,,,,,,1933693946.5935535,,10398947455.722965,,,1283185376.8457239,,,,,,,,,7326037976.103508,,,,,,,,,,43129953060.08314,1590501553.5630927,,,,39311568339.42443,,5536012840.2937565,,,2292553252.0078387,1978798889.282182,,,,,,,,,,,
2016-07-08,,,,,,,,,,,,,,,1989343737.0411365,,10669030681.126284,,,1303509743.5596821,,,,,,,,,7495197031.81663,,,,,,,,,,44364952813.55313,1617754000.8743255,,,,40127053169.50843,,5670145473.925149,,,2317288747.710042,1978798889.282182,,,,,,,,,,,
2016-07-11,,,,,,,,,,,,,,,2014077167.846178,,10661611490.361757,,,1309552173.8233473,,,,,,,,,7640260629.071063,,,,,,,,,,45303077887.628296,1615434697.777664,,,,41227311606.62541,,5633563635.135278,,,2343325778.368761,1978798889.282182,,,,,,,,,,,
2016-07-12,,,,,,,,,,,,,,,2042183183.2650852,,11134256851.771982,,,1311749354.5186472,,,,,,,,,7745342618.98957,,,,,,,,,,46063076342.087326,1628770994.7217314,,,,42055742795.7612,,5731114429.976798,,,2319892142.316838,1978798889.282182,,,,,,,,,,,
2016-07-13,,,,,,,,,,,,,,,2043307235.1817865,,11105319403.770998,,,1316693142.0484939,,,,,,,,,7651538318.307618,,,,,,,,,,46644948176.93023,1589921700.1399944,,,,41408529771.946205,,5664048403.885404,,,2283440559.1496425,1978798889.282182,,,,,,,,,,,
2016-07-14,,,,,,,,,,,,,,,2043869475.5720177,,11267073160.117216,,,1325482074.3743684,,,,,,,,,7648974921.534073,,,,,,,,,,47452447667.279976,1585282983.350939,,,,41550918118.532906,,5712823801.306164,,,2260007734.8321314,1978798889.282182,,,,,,,,,,,
2016-07-15,,,,,,,,,,,,,,,2068040665.986828,,11163194299.772972,,,1318341106.1492217,,,,,,,,,7610530252.766112,,,,,,,,,,46419325051.37148,1588761993.2937975,,,,41835691725.56589,,5590885307.754263,,,2260007734.8321314,1978798889.282182,,,,,,,,,,,
2016-07-18,,,,,,,,,,,,,,,2086028498.7003782,,11159484138.29955,,,1309002852.456438,,,,,,,,,7627445215.912139,,,,,,,,,,46217447913.80999,1596299977.198345,,,,41680360106.067825,,5651854845.254515,,,2267818243.3462815,1914621615.4049823,,,,,,,,,,,
2016-07-19,,,,,,,,,,,,,,,2077034582.3436031,,11144644624.588175,,,1310650816.557166,,,,,,,,,7623345665.925034,,,,,,,,,,46751823242.71028,1582383826.8311791,,,,43052445791.166,,5700630242.675275,,,2274327703.944565,1914621615.4049823,,,,,,,,,,,
2016-07-20,,,,,,,,,,,,,,,2091649616.0114076,,11269299030.564804,,,1321636929.5783405,,,,,,,,,7810443001.572154,,,,,,,,,,47559322733.060036,1640947584.8196018,,,,42832394720.97069,,5840859364.897811,,,2286044116.1033206,1914621615.4049823,,,,,,,,,,,
2016-07-21,,,,,,,,,,,,,,,2068040665.986828,,11129063531.45505,,,1321636929.5783405,,,,,,,,,7863752858.492589,,,,,,,,,,47654324804.84148,1633409711.5107865,,,,42366402948.61691,,5767696268.76667,,,2267818243.3462815,2039920178.8303394,,,,,,,,,,,
